Longitude,Latitude,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19
-119.86940045224996,34.5831984935604,153.0,101,45,4214.0,276.0,52.0,224.0,104.0,206.0,214.0,99.0,478.0,106.0,0.0,96.0,312.0,1.0,2.0,263.0
-120.0047249834679,39.58904169085949,85.0,123,34,7693.0,284.0,-68.0,352.0,-14.0,198.0,198.0,-14.0,353.0,66.0,7.0,65.0,187.0,24.0,24.0,187.0
-118.19568257652834,35.77493679872178,142.0,124,36,7441.0,328.0,-8.0,337.0,52.0,241.0,250.0,46.0,230.0,47.0,1.0,85.0,135.0,7.0,13.0,133.0
-118.03605096391732,35.65324551987805,122.0,125,37,7383.0,307.0,-28.0,335.0,36.0,182.0,228.0,26.0,188.0,39.0,1.0,85.0,112.0,5.0,14.0,107.0
-118.7957468511227,36.05490934699637,177.0,125,38,7108.0,361.0,32.0,329.0,95.0,280.0,282.0,87.0,567.0,102.0,1.0,83.0,301.0,5.0,5.0,292.0
-116.16198273376382,33.137536293584176,223.0,134,42,6353.0,397.0,79.0,318.0,141.0,268.0,316.0,141.0,108.0,19.0,1.0,61.0,54.0,4.0,21.0,54.0
-120.46706294080613,39.98260333427408,84.0,123,35,7506.0,282.0,-63.0,346.0,-12.0,195.0,195.0,-12.0,568.0,111.0,6.0,73.0,315.0,21.0,21.0,315.0
-119.41026559841382,36.197864645629664,197.0,129,40,6595.0,377.0,55.0,322.0,122.0,293.0,293.0,113.0,236.0,46.0,0.0,84.0,131.0,0.0,0.0,125.0
-120.85002648210005,36.75251094713531,158.0,127,44,5133.0,316.0,32.0,284.0,99.0,224.0,229.0,87.0,210.0,43.0,0.0,88.0,122.0,1.0,2.0,120.0
-118.28988398973033,34.1742432769529,176.0,116,43,5285.0,322.0,53.0,268.0,115.0,242.0,253.0,109.0,487.0,103.0,0.0,92.0,305.0,3.0,6.0,268.0
-116.31573661882064,34.05036648953752,150.0,134,40,6847.0,331.0,0.0,331.0,60.0,203.0,249.0,60.0,158.0,30.0,0.0,68.0,85.0,3.0,28.0,85.0
-120.18325507424538,34.66661810360051,155.0,92,45,3701.0,265.0,63.0,201.0,112.0,200.0,208.0,107.0,425.0,92.0,0.0,95.0,268.0,1.0,2.0,247.0
-116.66050782273363,35.4897070317349,171.0,126,34,8126.0,365.0,5.0,360.0,76.0,240.0,285.0,62.0,139.0,25.0,1.0,62.0,72.0,7.0,34.0,59.0
-116.55498128361616,35.799321044283815,250.0,123,32,8915.0,452.0,71.0,381.0,148.0,327.0,374.0,129.0,87.0,16.0,1.0,64.0,46.0,6.0,18.0,37.0
-120.99131142142467,36.09192153921279,161.0,121,46,4621.0,306.0,44.0,262.0,99.0,219.0,225.0,97.0,367.0,77.0,1.0,90.0,215.0,3.0,3.0,215.0
-118.21725129307491,35.3149173631278,142.0,128,38,7084.0,326.0,-4.0,330.0,56.0,236.0,245.0,52.0,193.0,39.0,1.0,83.0,108.0,5.0,10.0,108.0
-120.78203491753622,41.83335534638074,85.0,115,33,7602.0,289.0,-51.0,340.0,1.0,202.0,202.0,-9.0,397.0,58.0,9.0,44.0,164.0,30.0,30.0,154.0
-118.17522443094693,33.806391465463804,192.0,99,43,4377.0,314.0,87.0,227.0,141.0,244.0,256.0,136.0,335.0,77.0,0.0,98.0,219.0,1.0,2.0,203.0
-121.32022890645733,38.3687852409061,175.0,122,42,5644.0,341.0,50.0,291.0,98.0,253.0,253.0,98.0,467.0,95.0,1.0,85.0,271.0,3.0,3.0,271.0
-119.0280826513378,36.19462413798968,197.0,126,38,7001.0,381.0,53.0,328.0,133.0,300.0,300.0,108.0,395.0,72.0,1.0,82.0,207.0,3.0,3.0,199.0
-118.08726778215208,37.576032521661126,69.0,117,33,7978.0,260.0,-89.0,350.0,-22.0,116.0,185.0,-34.0,224.0,26.0,9.0,28.0,79.0,37.0,46.0,77.0
-122.65859699142733,40.91295489088264,103.0,121,37,6820.0,293.0,-29.0,322.0,16.0,204.0,204.0,16.0,1193.0,208.0,7.0,71.0,606.0,39.0,39.0,606.0
-120.96228059294181,37.42804141108834,173.0,123,43,5204.0,331.0,50.0,281.0,114.0,240.0,245.0,102.0,307.0,58.0,1.0,83.0,164.0,4.0,5.0,162.0
-120.90044535563416,41.70576198746025,87.0,117,34,7595.0,291.0,-50.0,342.0,2.0,204.0,204.0,-7.0,372.0,48.0,8.0,40.0,139.0,29.0,29.0,133.0
-116.47349678285597,32.877383806966606,112.0,128,45,5289.0,267.0,-13.0,280.0,64.0,145.0,191.0,45.0,588.0,109.0,3.0,79.0,315.0,24.0,46.0,299.0
-121.33133268115785,37.137461638623876,136.0,116,46,4403.0,275.0,24.0,250.0,84.0,191.0,195.0,74.0,412.0,82.0,1.0,90.0,239.0,4.0,5.0,232.0
-121.59488660078401,37.08607759237989,151.0,102,47,3764.0,270.0,52.0,217.0,98.0,197.0,201.0,97.0,431.0,90.0,1.0,90.0,255.0,4.0,5.0,255.0
-120.019885697883,39.28641831922732,53.0,124,36,7256.0,245.0,-95.0,340.0,-40.0,159.0,160.0,-40.0,850.0,164.0,12.0,73.0,463.0,44.0,44.0,463.0
-119.84322698365341,38.790383197442296,60.0,123,36,7111.0,247.0,-87.0,335.0,-30.0,165.0,165.0,-30.0,683.0,133.0,11.0,72.0,370.0,36.0,36.0,370.0
-119.81127791618498,35.84254208376474,189.0,133,42,6074.0,363.0,49.0,314.0,120.0,269.0,277.0,110.0,165.0,33.0,0.0,86.0,98.0,1.0,2.0,89.0
-118.65331881143375,37.23779965905288,12.0,118,36,7029.0,191.0,-131.0,322.0,-72.0,108.0,116.0,-76.0,411.0,73.0,10.0,64.0,204.0,32.0,33.0,204.0
-123.24095457776771,41.35148682748726,51.0,112,39,5723.0,217.0,-63.0,280.0,-20.0,126.0,136.0,-20.0,1385.0,267.0,6.0,83.0,798.0,32.0,43.0,798.0
-116.56608016530183,33.10186371495221,144.0,128,44,5467.0,300.0,14.0,286.0,79.0,178.0,224.0,74.0,439.0,82.0,2.0,79.0,234.0,17.0,31.0,231.0
-121.91383713151755,39.013947982506885,177.0,123,40,6165.0,353.0,47.0,305.0,94.0,263.0,263.0,94.0,444.0,86.0,1.0,85.0,254.0,3.0,3.0,254.0
-114.88305694114806,32.929746087419474,243.0,134,39,7285.0,426.0,84.0,342.0,346.0,301.0,346.0,146.0,79.0,12.0,0.0,55.0,31.0,1.0,31.0,29.0
-118.39880718953378,37.459142675279736,138.0,117,32,8229.0,334.0,-21.0,356.0,33.0,202.0,259.0,33.0,243.0,36.0,8.0,45.0,105.0,34.0,38.0,105.0
-121.19648254727922,37.33229147543137,156.0,120,45,4762.0,304.0,38.0,265.0,89.0,217.0,221.0,89.0,313.0,66.0,1.0,90.0,184.0,3.0,4.0,184.0
-122.69990700003645,41.47295228549212,73.0,119,38,6568.0,259.0,-54.0,314.0,-9.0,172.0,172.0,-9.0,767.0,135.0,10.0,69.0,401.0,42.0,42.0,401.0
-116.01553837808527,36.03212019844368,196.0,124,32,8733.0,395.0,19.0,375.0,95.0,273.0,318.0,78.0,184.0,36.0,2.0,64.0,100.0,9.0,35.0,96.0
-120.89726251340055,37.02246991250876,172.0,126,44,5166.0,330.0,46.0,283.0,112.0,238.0,243.0,100.0,237.0,48.0,0.0,86.0,135.0,1.0,2.0,133.0
-121.18332097173814,39.63145157459416,111.0,123,37,6856.0,300.0,-25.0,326.0,22.0,210.0,210.0,22.0,1613.0,342.0,3.0,84.0,954.0,15.0,15.0,954.0
-116.16105660638544,35.25551679443472,210.0,128,34,8362.0,407.0,38.0,369.0,112.0,281.0,327.0,97.0,111.0,16.0,1.0,48.0,44.0,4.0,32.0,42.0
-121.51440326965935,38.11798954343385,169.0,119,43,5101.0,322.0,50.0,272.0,98.0,238.0,238.0,98.0,390.0,79.0,1.0,86.0,225.0,3.0,3.0,225.0
-119.45555522767916,37.61944490453993,35.0,122,38,6532.0,212.0,-102.0,314.0,-39.0,132.0,132.0,-46.0,1018.0,191.0,6.0,79.0,551.0,22.0,22.0,533.0
