Longitude,Latitude,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19,presence
-121.442186033,36.5370200669,158.0,107,47,3900.0,282.0,55.0,227.0,105.0,207.0,210.0,103.0,394.0,82.0,1.0,89.0,226.0,3.0,4.0,226.0,1
-119.63666966,36.8713931362,191.0,127,39,6537.0,371.0,51.0,319.0,117.0,287.0,287.0,107.0,377.0,70.0,0.0,83.0,202.0,1.0,1.0,200.0,1
-120.18697057,36.7490149264,186.0,131,42,5978.0,360.0,50.0,310.0,107.0,271.0,271.0,107.0,222.0,41.0,0.0,83.0,119.0,0.0,0.0,119.0,1
-120.359383093,36.6971280911,183.0,132,43,5800.0,354.0,48.0,306.0,105.0,265.0,265.0,105.0,207.0,40.0,0.0,86.0,117.0,0.0,0.0,117.0,1
-119.894361681,36.7874254859,189.0,129,41,6265.0,367.0,52.0,315.0,118.0,280.0,280.0,108.0,269.0,50.0,0.0,84.0,146.0,0.0,0.0,144.0,1
-120.014058013,36.7570114176,188.0,130,41,6145.0,364.0,51.0,313.0,116.0,276.0,276.0,107.0,248.0,46.0,0.0,84.0,133.0,0.0,0.0,133.0,1
-120.54034862,36.645096076,176.0,131,43,5590.0,344.0,43.0,300.0,100.0,248.0,254.0,100.0,216.0,44.0,0.0,86.0,127.0,1.0,2.0,127.0,1
-121.379073813,36.4568635587,159.0,109,47,3977.0,285.0,54.0,231.0,103.0,213.0,213.0,103.0,380.0,80.0,1.0,89.0,224.0,3.0,3.0,224.0,1
-119.617877476,36.7781899873,192.0,128,39,6549.0,372.0,52.0,320.0,118.0,288.0,288.0,108.0,355.0,67.0,0.0,83.0,191.0,0.0,0.0,190.0,1
-120.171329334,36.6578786023,186.0,132,42,5960.0,359.0,49.0,310.0,107.0,271.0,271.0,107.0,209.0,40.0,0.0,84.0,114.0,0.0,0.0,114.0,1
-121.290788593,36.3793715272,161.0,115,46,4256.0,296.0,50.0,245.0,107.0,218.0,219.0,101.0,376.0,76.0,1.0,89.0,214.0,3.0,3.0,212.0,1
-119.839634167,36.677153551,190.0,130,41,6281.0,368.0,52.0,316.0,119.0,281.0,281.0,108.0,251.0,47.0,0.0,83.0,136.0,0.0,0.0,133.0,1
-120.025870499,36.5961255084,188.0,131,41,6111.0,364.0,50.0,313.0,119.0,276.0,276.0,108.0,212.0,40.0,0.0,84.0,115.0,0.0,0.0,113.0,1
-119.536241279,36.6796088549,193.0,128,39,6608.0,375.0,53.0,321.0,118.0,290.0,290.0,109.0,338.0,66.0,0.0,85.0,186.0,0.0,0.0,185.0,1
-121.181767576,36.3090972426,162.0,117,46,4390.0,300.0,48.0,252.0,103.0,218.0,222.0,100.0,368.0,76.0,1.0,89.0,211.0,3.0,3.0,210.0,1
-119.781714243,36.5932344368,191.0,130,41,6339.0,369.0,52.0,317.0,119.0,283.0,283.0,109.0,247.0,46.0,0.0,84.0,135.0,0.0,0.0,131.0,1
-119.638384331,36.5917328584,192.0,129,40,6455.0,372.0,53.0,319.0,119.0,286.0,286.0,109.0,279.0,52.0,0.0,84.0,152.0,0.0,0.0,148.0,1
-119.381667149,36.6231380499,195.0,127,39,6712.0,377.0,54.0,323.0,110.0,294.0,294.0,110.0,359.0,70.0,0.0,84.0,195.0,0.0,0.0,195.0,1
