pointid,grid_code,POINT_X,POINT_Y
3364,206,-121.379073813,36.4568635587
3442,206,-119.617877476,36.7781899873
3460,206,-120.171329334,36.6578786023
3667,206,-121.290788593,36.3793715272
3701,206,-119.839634167,36.677153551
3758,206,-120.025870499,36.5961255084
3771,206,-119.536241279,36.6796088549
4015,206,-121.181767576,36.3090972426
4050,206,-119.781714243,36.5932344368
4101,206,-119.638384331,36.5917328584
4119,206,-119.381667149,36.6231380499
4130,206,-120.015688104,36.478167015
4143,206,-119.881652579,36.4952818903
4179,206,-119.500475447,36.5610824702
4180,206,-121.081818105,36.2268266529
4248,206,-120.300106145,36.3633813289
4250,206,-119.708248407,36.4779024588
4406,206,-119.811577498,36.4047384236
4408,206,-121.057588204,36.1379748248
4413,206,-119.538079726,36.4483136991
4422,206,-119.246151368,36.4912591633
4423,206,-120.048493525,36.3273209395
4536,206,-120.222059997,36.254165718
4953,206,-119.361314167,36.4038074575
4958,206,-119.75469739,36.3178659067
4961,206,-120.941007207,36.0650563141
4968,206,-119.550180787,36.3497464954
4973,206,-121.229600748,35.9884226515
4978,206,-120.371763334,36.1684981778
5047,206,-120.191171957,36.1661780194
5074,206,-119.175287588,36.3432463462
5081,206,-119.717851431,36.2258231972
5082,206,-120.881065496,35.9830226484
5090,206,-119.357842879,36.2915598291
5489,206,-120.328518391,36.0814317559
5528,206,-119.504957498,36.1922398222
5557,206,-120.172217791,36.0400136889
5790,206,-119.690211005,36.1297044899
6270,206,-119.239418835,36.214335695
6875,206,-120.856424995,35.8670887454
7196,206,-120.070662675,35.9677606895
7393,206,-119.367191378,36.1010734373
8744,206,-119.588898203,36.0327466576
8759,206,-119.224981636,36.0786114469
8760,206,-120.904887979,35.7302086746
8802,206,-120.704538635,35.763068591
8989,206,-119.731278461,35.9565970377
9002,206,-119.397781008,36.0002101121
9058,206,-119.56622223,35.9394978266
9072,206,-119.179367815,35.9869038851
9073,206,-120.068483992,35.804928709
9099,206,-119.010947931,35.9937232594
9100,206,-120.6324152,35.6614130174
9118,206,-119.666745771,35.8475270166
9122,206,-119.319303459,35.9057194427
9133,206,-120.461151433,35.6558317527
9137,206,-119.796224349,35.7873803988
9167,206,-119.903655226,35.7354602685
9169,206,-120.741220665,35.5547536764
9171,206,-120.609297327,35.5726232865
9184,206,-119.180026586,35.8592215073
9190,206,-119.48941126,35.7950082815
9223,206,-119.288466385,35.8182601463
9252,206,-119.616389595,35.7455228383
9339,206,-119.743817213,35.6902431477
9615,206,-120.336767612,35.5617814064
9979,206,-119.446224647,35.6940203261
9982,206,-119.232782287,35.7360433888
10006,206,-119.579490754,35.6300025326
10026,206,-119.871046027,35.5388233255
10466,206,-119.700582914,35.5574898914
11225,206,-119.38033206,35.6114233168
11226,206,-120.805801353,35.313716209
11304,206,-119.525725371,35.5447206843
11357,206,-119.189362061,35.6008351539
11459,206,-119.385061316,35.5143131552
12069,206,-119.63520549,35.4455763542
12802,206,-119.242399736,35.4968673365
13571,206,-119.003902806,35.5372389686
14855,206,-119.402783636,35.4126315531
14867,206,-120.498343593,35.1823055363
15362,206,-119.098722153,35.4579266971
15640,206,-119.261033722,35.3997562537
16218,206,-120.598215736,35.0950027281
16377,206,-118.944305142,35.431455835
16536,206,-119.389642041,35.3210472293
16840,206,-119.090945658,35.3658658661
16866,206,-120.367563674,35.0800614635
16870,206,-119.252100225,35.3056857931
16957,206,-120.58002945,35.0048724768
16963,206,-118.941322166,35.3387460201
17024,206,-119.381282722,35.2248986037
17162,206,-119.100879329,35.263357863
17711,206,-120.389133514,34.9743099689
17742,206,-119.21005656,35.2152321624
17988,206,-120.496158444,34.9273980827
18091,206,-118.891929119,35.255506532
19096,206,-119.339538039,35.1402059786
19590,206,-119.065096278,35.1669412362
19890,206,-120.310971151,34.8924863125
20637,206,-118.910467032,35.1579731737
20979,206,-119.198745974,35.0887576593
24365,206,-119.01666494,35.07801998
24685,206,-119.598780658,34.9493872848
24777,206,-120.442403455,34.7713760044
26050,206,-118.869999799,35.0586106524
26077,206,-120.53458189,34.6828606635
26091,206,-120.36532163,34.6247629911
26101,206,-120.195305098,34.6228987862
26141,206,-120.070887174,34.6280998994
26145,206,-119.363937848,34.3184118264
26146,206,-118.938894412,34.4007813956
26151,206,-119.240395581,34.2476892339
26206,206,-118.990080954,34.2788329626
26243,206,-119.147731115,34.1576015713
26256,206,-118.883954137,34.1484715442
26257,206,-116.253180449,33.7759747146
26513,206,-116.175386939,33.6955820106
30989,206,-116.129992998,33.6110616581
35915,206,-115.985626549,33.5459456438
35990,206,-116.127980437,33.5177354711
37837,206,-114.504385685,33.7213754525
37892,206,-116.040520137,33.4381856068
37894,206,-115.807073432,33.4707409968
37955,206,-114.685746783,33.6123476518
37993,206,-114.533663682,33.6120450267
38008,206,-115.965208267,33.3547992384
38039,206,-115.701655992,33.3592684289
38073,206,-114.662444253,33.507453432
38235,206,-115.873058657,33.2787399509
38266,206,-115.569369626,33.325131833
39364,206,-115.832847109,33.1926903457
39427,206,-115.545457851,33.2367652926
40572,206,-116.017764546,33.1072598313
43286,206,-115.645752771,33.1595053492
48647,206,-115.413831521,33.1801464963
49835,206,-115.782796152,33.109182503
53181,206,-115.513509224,33.1187605192
59366,206,-115.655031436,33.0653425029
61601,206,-115.362014984,33.0968354349
66153,206,-115.511868418,33.0265213467
71934,206,-115.628640099,32.9776639006
74301,206,-115.328027843,33.0104514142
80334,206,-115.500870259,32.9350686282
81435,206,-115.727642052,32.8746289546
81976,206,-115.611713366,32.8880519646
83357,206,-115.302333272,32.9226362414
86292,206,-115.429917691,32.8539899165
87115,206,-115.727963828,32.781970536
87394,206,-115.54189912,32.8079245311
89071,206,-115.302205215,32.8301496155
93646,206,-115.41385001,32.7614800378
95547,206,-115.685708146,32.6965105142
96294,206,-115.53494071,32.7168380151
100141,206,-115.285428229,32.7407867699
111838,206,-115.391791115,32.6724693369
