Longitude,Latitude,geometry,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19
-124.0717969349479,40.348012970438994,POINT (-124.0717969349479 40.348012970438994),108.0,70,41,3525.0,206.0,36.0,169.0,64.0,152.0,160.0,64.0,1888.0,384.0,2.0,88.0,1134.0,18.0,31.0,1134.0
-120.43703838158505,38.80795463962522,POINT (-120.43703838158505 38.80795463962522),97.0,122,38,6635.0,279.0,-40.0,319.0,11.0,194.0,194.0,11.0,1408.0,280.0,7.0,80.0,802.0,27.0,27.0,802.0
-115.70899946490694,34.24699661598008,POINT (-115.70899946490694 34.24699661598008),203.0,132,37,7535.0,391.0,43.0,348.0,310.0,264.0,310.0,103.0,108.0,17.0,1.0,53.0,48.0,4.0,48.0,38.0
-116.1278348311265,33.62901116156814,POINT (-116.1278348311265 33.62901116156814),237.0,134,40,6936.0,419.0,84.0,335.0,146.0,289.0,337.0,146.0,84.0,16.0,0.0,62.0,42.0,1.0,21.0,42.0
-121.92579007282241,40.837752364009035,POINT (-121.92579007282241 40.837752364009035),136.0,122,35,7568.0,338.0,-7.0,345.0,39.0,248.0,249.0,39.0,1268.0,218.0,5.0,73.0,641.0,33.0,33.0,641.0
-115.87247478716286,35.760707133377664,POINT (-115.87247478716286 35.760707133377664),167.0,125,34,8404.0,362.0,-4.0,367.0,69.0,240.0,284.0,53.0,218.0,36.0,3.0,52.0,100.0,12.0,60.0,98.0
-118.02497446688821,36.17741708899199,POINT (-118.02497446688821 36.17741708899199),129.0,120,35,7735.0,317.0,-23.0,341.0,29.0,191.0,241.0,29.0,202.0,44.0,2.0,86.0,123.0,10.0,14.0,123.0
-119.09204845100902,34.74029594986305,POINT (-119.09204845100902 34.74029594986305),101.0,120,43,5365.0,254.0,-20.0,275.0,39.0,171.0,179.0,33.0,365.0,78.0,1.0,93.0,231.0,3.0,5.0,202.0
-118.29902362449553,36.53063768001678,POINT (-118.29902362449553 36.53063768001678),3.0,118,37,6890.0,179.0,-137.0,316.0,-77.0,95.0,104.0,-84.0,507.0,96.0,6.0,78.0,285.0,21.0,22.0,263.0
-117.23354093274882,32.71278726253438,POINT (-117.23354093274882 32.71278726253438),183.0,81,44,3505.0,284.0,100.0,184.0,143.0,221.0,235.0,140.0,248.0,47.0,1.0,87.0,134.0,3.0,4.0,134.0
-120.84775547203999,40.079209393670894,POINT (-120.84775547203999 40.079209393670894),100.0,123,36,7386.0,298.0,-44.0,342.0,5.0,209.0,209.0,5.0,783.0,153.0,4.0,77.0,434.0,15.0,15.0,434.0
-115.70180950246431,33.63319189386296,POINT (-115.70180950246431 33.63319189386296),204.0,134,39,7077.0,387.0,50.0,337.0,111.0,259.0,306.0,111.0,86.0,14.0,0.0,56.0,39.0,2.0,26.0,39.0
-119.89719423123006,37.71004251043053,POINT (-119.89719423123006 37.71004251043053),123.0,122,38,6476.0,299.0,-13.0,312.0,40.0,218.0,218.0,40.0,970.0,191.0,3.0,82.0,537.0,10.0,10.0,537.0
-115.97092041571453,32.794954142236506,POINT (-115.97092041571453 32.794954142236506),217.0,135,42,6264.0,391.0,74.0,316.0,136.0,260.0,309.0,136.0,120.0,23.0,1.0,63.0,62.0,4.0,26.0,62.0
-121.2148997275943,39.636553688095354,POINT (-121.2148997275943 39.636553688095354),114.0,123,37,6848.0,303.0,-21.0,325.0,26.0,213.0,213.0,26.0,1583.0,314.0,3.0,80.0,884.0,16.0,16.0,884.0
-122.90405540592722,41.84912089636788,POINT (-122.90405540592722 41.84912089636788),112.0,116,38,6394.0,293.0,-10.0,304.0,31.0,200.0,209.0,31.0,554.0,107.0,6.0,77.0,315.0,25.0,25.0,315.0
-121.69476743140586,40.74896944179253,POINT (-121.69476743140586 40.74896944179253),85.0,122,36,7279.0,282.0,-54.0,337.0,-7.0,192.0,193.0,-7.0,987.0,162.0,5.0,67.0,476.0,35.0,35.0,476.0
-121.28506127664069,40.701301554972964,POINT (-121.28506127664069 40.701301554972964),80.0,122,35,7372.0,278.0,-61.0,340.0,-13.0,189.0,189.0,-13.0,684.0,111.0,6.0,63.0,325.0,25.0,25.0,325.0
-118.49763372706067,36.188763647495236,POINT (-118.49763372706067 36.188763647495236),95.0,122,37,7111.0,277.0,-48.0,326.0,5.0,190.0,200.0,5.0,589.0,133.0,2.0,95.0,386.0,8.0,8.0,386.0
-121.85880387026779,36.92110512318038,POINT (-121.85880387026779 36.92110512318038),146.0,82,47,2963.0,239.0,66.0,172.0,104.0,183.0,185.0,104.0,625.0,126.0,2.0,88.0,359.0,6.0,6.0,359.0
-118.17484382173296,37.03499443816513,POINT (-118.17484382173296 37.03499443816513),138.0,116,33,8121.0,330.0,-19.0,349.0,44.0,218.0,256.0,33.0,257.0,45.0,8.0,61.0,133.0,28.0,30.0,124.0
-121.67067088965352,41.49280894854851,POINT (-121.67067088965352 41.49280894854851),80.0,120,35,7305.0,280.0,-57.0,337.0,-11.0,191.0,191.0,-11.0,654.0,105.0,6.0,65.0,313.0,32.0,32.0,313.0
-120.42962999451419,40.01102037707828,POINT (-120.42962999451419 40.01102037707828),81.0,123,35,7545.0,280.0,-66.0,347.0,-15.0,193.0,193.0,-15.0,582.0,110.0,8.0,69.0,312.0,26.0,26.0,312.0
-115.23984047673133,34.85677238951121,POINT (-115.23984047673133 34.85677238951121),209.0,128,35,8130.0,401.0,41.0,360.0,323.0,279.0,323.0,100.0,179.0,27.0,2.0,49.0,74.0,9.0,74.0,54.0
-114.69825509274311,34.35865017242823,POINT (-114.69825509274311 34.35865017242823),229.0,128,36,7941.0,415.0,62.0,353.0,123.0,297.0,339.0,123.0,101.0,17.0,1.0,54.0,46.0,4.0,30.0,46.0
-115.00256325529227,34.582632159718194,POINT (-115.00256325529227 34.582632159718194),214.0,128,36,7959.0,403.0,48.0,355.0,146.0,282.0,326.0,108.0,115.0,16.0,1.0,50.0,44.0,5.0,42.0,43.0
-121.39790560887937,40.24567880791209,POINT (-121.39790560887937 40.24567880791209),65.0,122,37,6975.0,256.0,-72.0,329.0,-24.0,167.0,167.0,-24.0,1125.0,214.0,5.0,74.0,607.0,24.0,24.0,607.0
-115.81795878019629,34.08907727514497,POINT (-115.81795878019629 34.08907727514497),219.0,133,38,7496.0,407.0,59.0,348.0,119.0,279.0,326.0,119.0,76.0,12.0,0.0,54.0,34.0,2.0,25.0,34.0
-120.47475065681955,34.55169211691866,POINT (-120.47475065681955 34.55169211691866),137.0,65,45,2658.0,215.0,71.0,144.0,105.0,167.0,175.0,103.0,445.0,94.0,0.0,94.0,278.0,1.0,2.0,250.0
-123.35015547554568,41.38803054911289,POINT (-123.35015547554568 41.38803054911289),94.0,109,39,5671.0,257.0,-17.0,275.0,22.0,168.0,178.0,22.0,1213.0,213.0,6.0,76.0,638.0,30.0,43.0,638.0
-115.75670774995078,34.92490834747888,POINT (-115.75670774995078 34.92490834747888),213.0,130,35,8181.0,408.0,43.0,364.0,123.0,282.0,328.0,103.0,190.0,25.0,2.0,43.0,72.0,9.0,63.0,62.0
-122.0254428809491,41.514886521896436,POINT (-122.0254428809491 41.514886521896436),56.0,121,36,7005.0,251.0,-78.0,329.0,-32.0,161.0,161.0,-32.0,855.0,137.0,9.0,64.0,408.0,38.0,38.0,408.0
-120.75210182365288,40.93471797043409,POINT (-120.75210182365288 40.93471797043409),77.0,120,34,7623.0,280.0,-66.0,346.0,-19.0,193.0,193.0,-19.0,384.0,62.0,5.0,55.0,181.0,21.0,21.0,181.0
-115.41984916685028,32.86249159127888,POINT (-115.41984916685028 32.86249159127888),247.0,136,40,6990.0,430.0,93.0,337.0,155.0,300.0,348.0,155.0,63.0,9.0,0.0,60.0,27.0,0.0,20.0,27.0
-121.7057486788182,40.86823644335763,POINT (-121.7057486788182 40.86823644335763),112.0,122,35,7504.0,313.0,-29.0,343.0,17.0,224.0,224.0,17.0,842.0,144.0,4.0,70.0,421.0,24.0,24.0,421.0
-122.96381504996026,41.56022668142138,POINT (-122.96381504996026 41.56022668142138),98.0,116,38,6290.0,276.0,-24.0,301.0,18.0,180.0,192.0,18.0,655.0,130.0,6.0,80.0,385.0,25.0,27.0,385.0
-118.63242733106108,36.27230936393411,POINT (-118.63242733106108 36.27230936393411),62.0,122,38,6796.0,240.0,-77.0,318.0,-16.0,162.0,162.0,-23.0,776.0,145.0,2.0,84.0,427.0,11.0,11.0,405.0
-122.4059834216181,41.42600998693054,POINT (-122.4059834216181 41.42600998693054),104.0,121,36,7070.0,299.0,-31.0,330.0,14.0,210.0,210.0,14.0,754.0,127.0,9.0,65.0,371.0,34.0,34.0,371.0
-123.00374811941813,39.910799891763695,POINT (-123.00374811941813 39.910799891763695),112.0,115,39,5865.0,281.0,-6.0,287.0,36.0,190.0,197.0,36.0,832.0,168.0,1.0,84.0,480.0,12.0,13.0,480.0
-117.16137401693854,36.255621448300026,POINT (-117.16137401693854 36.255621448300026),142.0,118,33,8266.0,335.0,-21.0,356.0,70.0,213.0,259.0,32.0,123.0,19.0,2.0,53.0,58.0,12.0,28.0,45.0
-115.08508498491427,33.80629711899647,POINT (-115.08508498491427 33.80629711899647),222.0,131,38,7493.0,407.0,62.0,345.0,147.0,283.0,328.0,123.0,113.0,17.0,1.0,56.0,47.0,3.0,39.0,47.0
-118.35066685182917,37.3387686036974,POINT (-118.35066685182917 37.3387686036974),144.0,117,32,8222.0,339.0,-15.0,355.0,41.0,213.0,264.0,38.0,221.0,34.0,8.0,47.0,98.0,30.0,32.0,98.0
-123.82841829565538,41.331008345455174,POINT (-123.82841829565538 41.331008345455174),101.0,88,40,4518.0,230.0,11.0,218.0,45.0,159.0,168.0,45.0,1905.0,357.0,5.0,81.0,1060.0,36.0,38.0,1060.0
-120.9429259264011,41.781568931221,POINT (-120.9429259264011 41.781568931221),88.0,116,34,7566.0,292.0,-48.0,340.0,4.0,204.0,204.0,-6.0,393.0,48.0,9.0,37.0,138.0,34.0,34.0,129.0
-118.32469457187551,36.889515162791824,POINT (-118.32469457187551 36.889515162791824),75.0,116,34,7531.0,259.0,-73.0,333.0,-15.0,176.0,185.0,-20.0,272.0,55.0,5.0,77.0,154.0,16.0,17.0,153.0
-118.66458256925962,37.019015913904354,POINT (-118.66458256925962 37.019015913904354),48.0,118,36,7110.0,229.0,-94.0,323.0,-33.0,146.0,153.0,-41.0,490.0,96.0,7.0,76.0,275.0,24.0,25.0,260.0
